Domain,Capability,Frontend,API,Service,Repository,Worker,Provider,Database,Tests,Live Side Effects,Feature Flag,Current Status,Evidence,Operator Action,Known Limitation,Recommended Next Step
Shell,React application shell,AppShell,No,No,No,No,No,No,Yes,None,No,Implemented,frontend/src/app/router/router.tsx,Open browser,Placeholder routes remain,Clarify placeholder labels
Content,Content Studio,ContentStudioPage,/api/v1/content-studio,CreativeDirector and generation services,Generation/file stores,No,xAI and generation providers,Mixed JSON/DB,Yes,Paid generation,Provider configuration,Implemented requiring credentials,frontend/src/features/content-studio; app/api/content_studio.py,Create prompts and generate,Provider cost and configuration,Controlled provider smoke test
Content,Generation Library,GenerationLibraryPage,/api/v1/generation-library,GenerationLibraryService,Generation repositories,No,No,Mixed JSON/DB,Yes,Publish action,No,Implemented,app/api/generation_library.py,Review and route media,Vite adapter differs,Remove/isolate 18-item adapter
Content,Edit Studio,EditStudioPage,/api/v1/edit-studio,EditStudioService,Asset/file stores,No,Generation providers,DB/files,Yes,Paid generation,Provider configuration,Implemented,app/api/edit_studio.py,Edit and approve,External provider dependent,Add E2E workflow test
Content,Photoshoot Studio,PhotoshootPage,/api/v1/photoshoot,Photoshoot services,Photoshoot repositories,Photoshoot auto-run/analysis,Generation providers,PostgreSQL/files,Yes,Paid generation,CREATOR_OS_LAUNCH_PHOTOSHOOT_*,Implemented guarded,app/api/photoshoot.py,Curate session,Worker/provider configuration,Controlled restart test
Content,Story Studio,StoryStudioPage,None dedicated,Limited,No,No,No,Foundation only,Frontend tests,Unclear,No,Partially implemented,frontend/src/features/story-studio,Inspect only,No equivalent backend workflow,Define scope
Content,Video Studio,Placeholder,None,Provider foundation,No,No,WAN,Foundation,Minimal,Potential cost,No,UI-only placeholder,frontend/src/app/router/router.tsx,None,Navigation overstates support,Hide or implement
Assets,Canonical reference,ReferenceLibraryPage,/api/v1/reference-library,CanonicalReferenceService,AssetRepository,Startup recovery,No,PostgreSQL,Yes,None,No,Implemented,app/services/canonical_reference_service.py,Select active reference,Record-specific not fixed ID,Add operator validation
Assets,Asset Library,AssetLibraryPage,/api/v1/assets,AssetLibraryService,Asset repositories,Analysis trigger,No,PostgreSQL/files,Yes,Mutates records,No,Implemented,app/api/asset_library.py,Register/archive/restore,Mixed item lifecycle,Keep typed state docs
Assets,Asset intelligence,Commerce Library display,/api/v1/business-assets,Analysis orchestrator,Stage repositories,Four analysis workers,NudeNet/OpenAI/xAI,PostgreSQL,Yes,Provider calls,CREATOR_OS_LAUNCH_*ANALYSIS*,Implemented but disabled by config,app/services/business_asset_analysis_orchestrator.py,Monitor READY,All workers must run,OBSERVE worker rehearsal
Assets,Content Destination,Commerce/Photoshoot APIs,Indirect,ContentDestinationService,ContentDestinationRepository,No,No,PostgreSQL,Yes,None,No,Implemented,app/models/content_destination.py,Assign through workflow,Some rules service-enforced,Constraint audit
Assets,Available Inventory,AvailableInventoryPage,/api/v1/available-inventory,AvailableInventoryService,AvailableInventoryRepository,No,No,PostgreSQL,Yes,None,No,Implemented read-focused,app/api/available_inventory.py,Select eligible assets,Actions live in Commerce,Improve handoff
Commerce,Offering authoring,CommercePage,/api/v1/commerce-authoring,CommerceAuthoringService,CommerceAuthoringRepository,No,No,PostgreSQL,Yes,Creates/updates offering,No,Implemented,app/api/commerce_authoring.py,Compose and price,Only image/photoset/video authoring,Validate live data
Commerce,Commercial Publication,CommercialOfferingsPage,/api/v1/commercial-publications,CommercialPublicationService,CommercialPublicationRepository,Fanvue publication,Official Fanvue,PostgreSQL,Yes,Fanvue writes,CREATOR_OS_LAUNCH_FANVUE_COMMERCIAL_PUBLICATIONS,Implemented guarded,app/services/fanvue_media_link_publication_executor.py,Create then execute deliberately,Requires OAuth/scopes,Controlled live proof
Commerce,Telegram Content Vault,CommercePage,/api/v1/commerce-authoring/{id}/telegram-content-vault,CommerceTelegramVaultService,Social publishing repositories,No,Telegram Bot API,JSON/DB,Yes,Channel post,Telegram configuration,Implemented guarded,app/services/commerce_telegram_vault_service.py,Publish offering,Needs active Media Link,OBSERVE/test channel proof
Commerce,Customer Commerce,Developer page,/api/v1/developer/customer-commerce,CustomerCommerceService,CustomerCommerceRepository,Reconciliation,Fanvue reads/webhook,PostgreSQL,Yes,None on read,Developer key,Implemented,app/models/customer_commerce.py,Inspect profile,Depends verified transaction,Alert stale reconciliation
Commerce,Purchase Intent,Developer page,/api/v1/developer/purchase-intents,PurchaseIntentService,PurchaseIntentRepository,Reconciliation/expiry,No,PostgreSQL,Yes,Created during delivery,Runtime gates,Implemented,app/models/purchase_intent.py,Inspect lifecycle,Ambiguous payments remain UNKNOWN,Manual review workflow
Chat,Developer Test Chat,TestChatPage,/api/v1/developer/test-chat,TestChatService,Memory/session repositories,No,OpenAI,PostgreSQL/test state,Yes,External send disabled,Developer key,Implemented safe tool,app/api/test_chat.py,Test turns,Not transport proof,Use before LIVE
Chat,Unified Conversation Brain,No direct page,Telegram/Test Chat,ConversationGateway and Sales Brain,Conversation/customer repositories,Telegram runtime,OpenAI,PostgreSQL,Yes,Replies/offers,Runtime/module switches,Implemented constrained,app/services/conversation_gateway.py,Observe decisions,Live loop conditional,Controlled OBSERVE soak
Chat,Offering Selector,Developer page,/api/v1/developer/offering-selector,CommercialOfferingSelectorService,Selector repository,No,No,PostgreSQL,Yes,None on read,Developer key,Implemented,app/services/commercial_offering_selector_service.py,Inspect exclusions,Needs eligible offering,Provision launch fixture/data
Providers,Fanvue OAuth,ProviderConnectionsPage,/api/v1/administration/providers/fanvue,FanvueOAuthService,FanvueAccountRepository,No,Fanvue OAuth,PostgreSQL/local session,Yes,Token exchange,OAuth config,Implemented requiring config,app/api/provider_connections.py,Connect/reconnect,Redirect/scopes external,Startup certification
Providers,Fanvue webhook,Webhook Monitor,/webhooks/fanvue,Normalizer/router/processor,WebhookEventRepository,Reconciliation,Fanvue,PostgreSQL/in-memory monitor,Yes,Receives external events,Signing secret,Implemented,app/fanvue_callback_server.py,Monitor only,Signature/external schema drift,Fixture and alerting
Operations,Operations workspace,BusinessOperationsPage,/api/v1/operations,OperationsWorkspaceService,Runtime/heartbeat repositories,Supervisor,Multiple,PostgreSQL/logs,Yes,Switch mutations,Runtime configuration,Implemented,app/api/operations.py,Monitor and switch,Not full alerting,Add alerts/SLOs
Operations,Worker supervision,Operations display,Indirect,WorkerLauncherSupervisionService,Heartbeat repository,15 workers,Multiple,PostgreSQL/logs,Yes,May send/publish,CREATOR_OS_LAUNCH_*,Implemented opt-in,app/services/worker_launcher_supervision_service.py,Enable individually,Launcher inconsistency,Unify launcher
Legacy,Products,BusinessProductsPage,/api/v1/products,ProductWorkspaceService,ProductRepository,Legacy workers,Fanvue legacy,PostgreSQL,Yes,Read only in React,No,Legacy/superseded,app/api/products.py,Inspect only,Overlaps offerings,Define retirement
Legacy,Streamlit dashboard,Legacy only,Legacy/internal,Many shared services,Many,Some,Multiple,Mixed,Legacy tests,Potential,Legacy launcher,Legacy or superseded,app/dashboard; start.py,Do not use as authority,Still starts by root script,Replace launcher then deprecate
